question,res_w_ref_i9,res_w_ref_i8,res_w_ref_i6,res_w_ref_i7,res_w_ref_i5,res_w_ref_i4,res_w_ref_i0,res_w_ref_i1,res_w_ref_i3,res_w_ref_i2,res_w_ref_i10,res_wo_ref_i8,res_wo_ref_i9,res_wo_ref_i4,res_wo_ref_i5,res_wo_ref_i7,res_wo_ref_i6,res_wo_ref_i2,res_wo_ref_i3,res_wo_ref_i1,res_wo_ref_i0,res_wo_ref_i10,res_w_ref_i9_acc,res_w_ref_i8_acc,res_w_ref_i6_acc,res_w_ref_i7_acc,res_w_ref_i5_acc,res_w_ref_i4_acc,res_w_ref_i0_acc,res_w_ref_i1_acc,res_w_ref_i3_acc,res_w_ref_i2_acc,res_w_ref_i10_acc,res_wo_ref_i8_acc,res_wo_ref_i9_acc,res_wo_ref_i4_acc,res_wo_ref_i5_acc,res_wo_ref_i7_acc,res_wo_ref_i6_acc,res_wo_ref_i2_acc,res_wo_ref_i3_acc,res_wo_ref_i1_acc,res_wo_ref_i0_acc,res_wo_ref_i10_acc,type,level
"Barnes v. Glen Theatre, Inc. and Michigan v. EPA, are related to which mutual organization?","There is no mutual organization related to Barnes v. Glen Theatre, Inc. and Michigan v. EPA according to the provided context.","There is no mutual organization related to Barnes v. Glen Theatre, Inc. and Michigan v. EPA.",There is no direct relation to a mutual organization mentioned in the context.,"There is no mutual organization directly related to Barnes v. Glen Theatre, Inc. and Michigan v. EPA according to the provided context.","There is no mutual organization related to Barnes v. Glen Theatre, Inc. and Michigan v. EPA.","There is no direct relationship between Barnes v. Glen Theatre, Inc. and Michigan v. EPA to any mutual organization mentioned in the provided context.",Not related.,None.,"There is no mutual organization related to Barnes v. Glen Theatre, Inc. and Michigan v. EPA.","There is no direct relationship between Barnes v. Glen Theatre, Inc. and Michigan v. EPA with any mutual organization.",,"There is no direct relationship between Barnes v. Glen Theatre, Inc. and Michigan v. EPA with a specific mutual organization.","There is no direct relationship between Barnes v. Glen Theatre, Inc. and Michigan v. EPA with any mutual organization.","There is no specific mutual organization related to Barnes v. Glen Theatre, Inc. and Michigan v. EPA.",There is no direct relation to a mutual organization.,"There is no mutual organization related to Barnes v. Glen Theatre, Inc. and Michigan v. EPA.",United States Supreme Court,United States Supreme Court,"There is no direct relationship between Barnes v. Glen Theatre, Inc. and Michigan v. EPA to any mutual organization.",United States Supreme Court,United States Supreme Court,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,comparison,easy
"Hans Schlegel and Reinhard Furrer, are German, of which mutual occupations?",Astronauts,Astronauts,Astronauts,Astronauts,physicist and astronaut,physicist and astronaut,physicist and astronaut,physicist and astronaut,physicist and astronaut,physicist and astronaut,Astronauts.,Astronauts,Astronauts,physicist and astronaut,physicist and astronaut,Astronauts,Physicist and astronaut,physicist and astronaut,physicist and astronaut,physicist and astronaut,physicist and astronaut,Astronauts,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,comparison,easy
"Which has a distinct summit, Saraghrar or Trivor?",Trivor,Saraghrar,Saraghrar,Saraghrar,Saraghrar,Trivor,Saraghrar,Trivor,Saraghrar,Trivor,Saraghrar,Saraghrar,Saraghrar,Saraghrar,Saraghrar,Trivor,Saraghrar,Trivor,Trivor,Trivor,Trivor,Saraghrar,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,comparison,easy
"Main Line of Public Works and Sacramento Deep Water Ship Channel, are in the United States?",Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,comparison,easy
"Who is affiliated with the University of Engineering and Technology, Taxila, Center for Advanced Studies in Engineering or Temple University?",Center for Advanced Studies in Engineering,Center for Advanced Studies in Engineering.,Center for Advanced Studies in Engineering,Center for Advanced Studies in Engineering,Center for Advanced Studies in Engineering,Center for Advanced Studies in Engineering,Center for Advanced Studies In Engineering,Center for Advanced Studies In Engineering,Center for Advanced Studies in Engineering,"University of Engineering and Technology, Taxila.",Center for Advanced Studies in Engineering,"University of Engineering and Technology, Taxila","University of Engineering and Technology, Taxila","University of Engineering and Technology, Taxila",Center for Advanced Studies In Engineering,"University of Engineering and Technology, Taxila",Center for Advanced Studies in Engineering,Center for Advanced Studies In Engineering,"University of Engineering and Technology, Taxila",Center for Advanced Studies In Engineering,Center for Advanced Studies In Engineering,"University of Engineering and Technology, Taxila",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,comparison,easy
"Which rock band has more members, Skillet or Portugal. The Man?",Skillet,Skillet,Skillet,Portugal. The Man,Skillet,Skillet,Portugal. The Man,Portugal. The Man,Portugal. The Man,Portugal. The Man,Skillet,Portugal. The Man,Skillet,Portugal. The Man,Portugal. The Man,Portugal. The Man,Portugal. The Man,Skillet,Portugal. The Man,Portugal. The Man,Portugal. The Man,Portugal. The Man,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,comparison,easy
"MedStar Georgetown University Hospital and Walter Reed Army Medical Center, are both which type of medical facilities?",Teaching hospitals.,Teaching hospitals.,Hospital.,Teaching hospitals.,"MedStar Georgetown University Hospital: Academic hospital
Walter Reed Army Medical Center: Military hospital",Hospitals.,Hospital,Hospital.,Hospitals.,Hospital,Teaching hospitals.,Both MedStar Georgetown University Hospital and Walter Reed Army Medical Center are teaching hospitals.,Teaching hospitals.,Hospitals.,Both MedStar Georgetown University Hospital and Walter Reed Army Medical Center are hospitals.,Hospital.,Hospital,Hospital,Hospital.,Hospital,Hospital,Teaching hospitals.,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,comparison,easy
What job did both Elizabeth Bishop and Nelson DeMille have?,"Elizabeth Bishop: Poet
Nelson DeMille: Author","Elizabeth Bishop: Poet
Nelson DeMille: Author","Elizabeth Bishop: Poet, Professional Tennis Player
Nelson DeMille: Author","Elizabeth Bishop: Poet
Nelson DeMille: Author","Elizabeth Bishop: Poet
Nelson DeMille: Author",writer,writer,writer,writer,writer,"Elizabeth Bishop: Poet
Nelson DeMille: Author","Elizabeth Bishop: Poet
Nelson DeMille: Author","Elizabeth Bishop: Poet
Nelson DeMille: Author",writer,Writer,writer,writer,writer,writer,writer,writer,"Elizabeth Bishop: Poet
Nelson DeMille: Author",0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,comparison,easy
"Pachystegia and Passiflora, are in the family of Passifloraceae?",Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,yes,Yes.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,comparison,easy
"Tampa International Airport and John F. Kennedy International Airport, are national airports?",No.,No.,No.,No.,No.,No.,no,No.,No.,No.,No.,Yes.,Yes.,Yes.,no,Yes.,Yes.,Yes.,Yes.,Yes.,yes,Yes.,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,comparison,easy
What is the difference between Stachyurus and Cucumis?,"Stachyurus is a genus in the Stachyuraceae family, while Cucumis is a genus in the Cucurbitaceae family.","Stachyurus is a genus in the Stachyuraceae family, while Cucumis is a genus in the Cucurbitaceae family.","Stachyurus is a genus of plants in the Stachyuraceae family, while Cucumis is a genus of plants in the Cucurbitaceae family.","Stachyurus is a genus in the Stachyuraceae family, while Cucumis is a genus in the Cucurbitaceae family.","Stachyurus is a genus in the Stachyuraceae family, while Cucumis is a genus in the Cucurbitaceae family.","Stachyurus is a genus in the Stachyuraceae family, while Cucumis is a genus in the Cucurbitaceae family.","Stachyurus is a genus in the Stachyuraceae family, while Cucumis is a genus in the Cucurbitaceae family.","Stachyurus is a genus in the Stachyuraceae family, while Cucumis is a genus in the Cucurbitaceae family.","Stachyurus is a genus in the Stachyuraceae family, while Cucumis is a genus in the Cucurbitaceae family.",Stachyuraceae vs Cucurbitaceae,Taxonomic classification,"Stachyurus is a genus in the Stachyuraceae family, while Cucumis is a genus in the Cucurbitaceae family.","Stachyurus is a genus in the Stachyuraceae family, while Cucumis is a genus in the Cucurbitaceae family.","Stachyurus is a genus of flowering plants in the family Stachyuraceae, while Cucumis is a genus of plants in the family Cucurbitaceae.","Stachyurus is a genus of plants in the Stachyuraceae family, while Cucumis is a genus of plants in the Cucurbitaceae family.","Stachyurus is a genus in the Stachyuraceae family, while Cucumis is a genus in the Cucurbitaceae family.","Stachyurus is a genus in the Stachyuraceae family, while Cucumis is a genus in the Cucurbitaceae family.","Stachyurus is a genus in the Stachyuraceae family, while Cucumis is a genus in the Cucurbitaceae family.","Stachyurus is a genus in the Stachyuraceae family, while Cucumis is a genus in the Cucurbitaceae family.",Stachyuraceae contains a single genus with eight species.,Stachyuraceae contains a single genus with eight species.,Stachyurus and Cucumis are different genera in different plant families.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,comparison,easy
"Shirley Manson and Mark Slaughter, have which mutual occupation?",Musicians.,Singers,Musicians,Musicians,singers,singer,singer,singers,singers,singer,Musicians,Singers,Musicians,singer,singer,Musician,Musicians,singer,singer,singer,singer,Musicians,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,comparison,easy
"Gregg Rolie and Rob Tyner, are a keyboardist?",Gregg Rolie is a keyboardist. Rob Tyner is not a keyboardist.,"Gregg Rolie: Yes.
Rob Tyner: No.",No.,"Gregg Rolie: Yes.
Rob Tyner: No.",No.,"Gregg Rolie: yes
Rob Tyner: no",no,No.,No.,Yes.,No.,No.,Yes.,No.,Yes,No.,Yes.,Yes.,no,Yes.,No.,Yes.,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,comparison,easy
"Trey Anastasio and Glenn Bidmead, have which mutual occupation?",,No mutual occupation.,,Musician,None.,No mutual occupation.,There is no information available on the mutual occupation of Trey Anastasio and Glenn Bidmead.,There is no information available about Trey Anastasio and Glenn Bidmead having a mutual occupation.,,,,Journalist,Musician,guitarist,Journalist,Musician,guitarist,guitarist,There is no information provided about a mutual occupation between Trey Anastasio and Glenn Bidmead.,guitarist,guitarist,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,comparison,easy
"Jean Epstein and Tim Whelan, are French?","Jean Epstein: Yes
Tim Whelan: No","Jean Epstein: Yes.
Tim Whelan: No.","Jean Epstein: Yes
Tim Whelan: No","Jean Epstein: Yes
Tim Whelan: No","Jean Epstein: Yes
Tim Whelan: No","Jean Epstein: Yes
Tim Whelan: No","Jean Epstein is French, Tim Whelan is American.","Jean Epstein: French
Tim Whelan: American","Jean Epstein: Yes
Tim Whelan: No","Jean Epstein: Yes
Tim Whelan: No","Jean Epstein: Yes
Tim Whelan: No","Jean Epstein: Yes
Tim Whelan: No","Jean Epstein: Yes
Tim Whelan: No",No.,"Jean Epstein: Yes
Tim Whelan: No","Jean Epstein: Yes
Tim Whelan: No","Jean Epstein: Yes
Tim Whelan: No","Jean Epstein: Yes
Tim Whelan: No","Jean Epstein: Yes
Tim Whelan: No",no,no,"Jean Epstein: Yes
Tim Whelan: No",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,comparison,easy
"Billy Bob Thornton and Gene Saks, are Americans that have which occupation in common?",Directors,Director,director,Film directors.,film director,actor,actor,actor,actor,actor,Directors.,Film director,Film directors,director,Actor,Both Billy Bob Thornton and Gene Saks have the occupation of actor.,Directors,actor,Actor,actor,actor,Directors.,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,comparison,easy
Do we know for a fact that Alfred L. Werker directed more films than Jon Jost?,Yes.,No.,No.,No.,No.,Yes.,no,yes,Yes.,yes,No.,No.,No.,No.,Yes.,Yes,Yes.,no,No.,No.,no,Yes.,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,comparison,medium
"Who has spent more time in the heavy metal music industry, Kevin DuBrow or Lance King?",Kevin DuBrow,Kevin DuBrow,Kevin DuBrow,Kevin DuBrow,Kevin DuBrow,Kevin DuBrow,Kevin DuBrow.,Kevin DuBrow,Kevin DuBrow,Kevin DuBrow,Kevin DuBrow,Kevin DuBrow,Kevin DuBrow,Lance King,Kevin DuBrow,Kevin DuBrow,Kevin DuBrow,Kevin DuBrow,Lance King,Lance King,Lance King,Kevin DuBrow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,comparison,medium
Does the London Avenue Canal or  Riverside Canal run through the 4th ward?,London Avenue Canal,London Avenue Canal,London Avenue Canal,London Avenue Canal,London Avenue Canal,Neither.,London Avenue Canal,London Avenue Canal,London Avenue Canal,Neither the London Avenue Canal nor the Riverside Canal run through the 4th ward.,London Avenue Canal,London Avenue Canal,London Avenue Canal,London Avenue Canal,London Avenue Canal,London Avenue Canal,London Avenue Canal,London Avenue Canal,London Avenue Canal,London Avenue Canal,London Avenue Canal,London Avenue Canal,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,comparison,medium
"Between the Lime and the Exochorda, which can be expected to have more variety between individual plants?",Exochorda,Exochorda,Exochorda,Exochorda,Exochorda,Exochorda,Exochorda,Exochorda,Exochorda,Exochorda,Exochorda,Exochorda,Lime,Exochorda,Exochorda,Exochorda,Lime,Exochorda,Exochorda,Exochorda,Exochorda,Lime,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,comparison,medium
"Which is a higher level city, Yuxi or Lufeng, Guangdong?",Yuxi,Yuxi,Yuxi,Yuxi,Yuxi,Yuxi,Lufeng,Yuxi,Yuxi,Lufeng,"Lufeng, Guangdong",Lufeng,Yuxi,Yuxi,Yuxi,Yuxi,Lufeng,Lufeng,Lufeng,Lufeng,Lufeng,Yuxi,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,comparison,medium
Are Puyang and Pu'er City located in the same country?,Yes.,No.,No.,No.,No.,Yes.,no,yes,Yes.,No.,No.,No.,No.,No.,No.,No.,No.,No.,No.,No.,yes,No.,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,comparison,medium
"Which university was founded earlier, Lehigh University or University of Iowa?",University of Iowa,University of Iowa,University of Iowa,University of Iowa,University of Iowa,Lehigh University,University of Iowa,University of Iowa,Lehigh University,University of Iowa,University of Iowa,Lehigh University,University of Iowa,University of Iowa,University of Iowa,Lehigh University,Lehigh University,University of Iowa,University of Iowa,University of Iowa,University of Iowa,Lehigh University,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,comparison,medium
Were Lee Ji-hye and Shim Eun-jin in the same band?,No.,No.,Yes.,Yes.,No.,No.,Yes.,Yes.,Yes.,Yes.,No.,Yes.,No.,Yes.,No,No.,Yes.,no,no,no,Yes.,Yes.,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,comparison,medium
Are Pylon and Team Sleep experimental bands?,No.,Yes.,Yes.,No.,Yes.,No.,Yes.,Yes.,Yes.,Yes.,Yes.,No.,Yes.,Yes.,no,No.,Yes.,No.,no,Yes.,no,Yes.,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,comparison,medium
"Which opera has more acts, The Bassarids or Don Quichotte?",Don Quichotte,Don Quichotte,Don Quichotte,Don Quichotte,Don Quichotte,The Bassarids,Don Quichotte,Don Quichotte,Don Quichotte,The Bassarids,The Bassarids,Don Quichotte,Don Quichotte,Don Quichotte,Don Quichotte,Don Quichotte,The Bassarids,Don Quichotte,Don Quichotte,Don Quichotte,Don Quichotte,The Bassarids,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,comparison,medium
Did Kazuo Ishiguro and Yukio Mishima both move from Japan to England?,Yes.,No.,Yes.,No.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,No.,No.,Yes.,Yes.,Yes.,Yes.,No.,no,Yes.,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,comparison,medium
Were Trembling Before G-d and Zeitgeist both released in 2001?,No.,No.,Yes.,No.,No.,no,yes,No.,no,No.,No.,Yes.,No.,no,Yes.,No.,Yes.,No.,no,no,no,Yes.,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,comparison,medium
"Which genus has more species, Cardiospermum or Chestnut?",Cardiospermum,Cardiospermum,Cardiospermum,Cardiospermum,Cardiospermum,Cardiospermum,Chestnut,Cardiospermum,Cardiospermum,Cardiospermum,Cardiospermum,Chestnut,Chestnut,Chestnut,Chestnut,Chestnut,Chestnut,Chestnut,Chestnut,Chestnut,Cardiospermum,Chestnut,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,comparison,medium
Are both Matt Willis and The Mekons British?,Yes.,Yes.,Yes.,Yes.,No.,Yes.,"Yes (Matt Willis), No (The Mekons).",Yes.,Yes.,Yes,Yes.,Yes.,Yes.,no,no,Yes,Yes.,Yes.,Yes.,no,No.,Yes.,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,comparison,medium
"While Anatole Litvak and Kinji Fukasaku are both directors, were they both responsible for their own screenplays as well?",No.,No.,No.,No.,No.,No.,No.,No.,No.,No.,No.,No.,No.,No.,No.,No.,No.,No.,No.,No.,No,No.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,comparison,medium
Are both Print and National Journal periodicals?,Yes,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes,Yes.,Yes.,Yes.,No.,Yes.,Yes.,Yes.,Yes,Yes.,Yes.,No.,Yes,no,Yes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,comparison,medium
What do films The Seafarers and Out of Place have in common?,Seafarers.,Seafarers,Seafarers.,Seafaring theme,Seafaring theme.,None.,documentary,documentary,documentary,documentary,Seafarers.,Both films are documentaries.,Seafaring theme,Both films are documentaries.,Both films are documentaries.,Seafaring themes.,Seafarers.,documentary,documentary,documentary,documentary,Both films revolve around seafarers or individuals connected to the sea.,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,comparison,medium
Are Macropidia and Gum tree both types of trees?,No.,No.,Yes.,Yes.,No.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,No.,Yes.,No.,no,No,No.,Yes.,Yes.,no,no,Yes.,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,comparison,medium
Was Winnie the Pooh or The Jungle Book released first?,The Jungle Book.,The Jungle Book.,Winnie the Pooh,The Jungle Book,Winnie the Pooh,Winnie the Pooh,The Jungle Book.,The Jungle Book.,Winnie the Pooh,The Jungle Book.,The Jungle Book.,The Jungle Book,Winnie the Pooh,The Jungle Book,The Jungle Book,The Jungle Book,The Jungle Book,The Jungle Book,The Jungle Book,Winnie the Pooh,The Jungle Book,The Jungle Book,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,comparison,hard
Are both Die Macher and Quoridor German board games?,Yes.,Yes.,Yes.,Yes.,Yes.,no,no,no,no,Yes.,Yes.,Yes.,Yes,no,no,No.,Yes.,Yes.,no,Yes,no,Yes.,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,comparison,hard
Are musicians Paul Cotton and Cedric Bixler-Zavala both members of a band?,No.,No.,No.,No.,No.,No.,No.,No,No.,No.,No.,No,No,No.,No.,No,No,No,No,Yes,No,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,comparison,hard
What to Autograph Collector Magazine and Linux Journal have in common?,Both are magazines.,publications,magazines,Publications,monthly,Both Autograph Collector Magazine and Linux Journal are magazines.,monthly,monthly,Both are publications.,Both Autograph Collector Magazine and Linux Journal are magazines.,Both Autograph Collector Magazine and Linux Journal are magazines.,Both Autograph Collector Magazine and Linux Journal are magazines.,Both Autograph Collector Magazine and Linux Journal are magazines.,monthly,Both Autograph Collector Magazine and Linux Journal are magazines.,Both Autograph Collector Magazine and Linux Journal are magazines.,Both Autograph Collector Magazine and Linux Journal are magazines.,monthly,Both magazines are published on a monthly basis.,monthly,monthly,Both Autograph Collector Magazine and Linux Journal are magazines.,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,comparison,hard
Were both Memotech MTX and TEC-1 single-board kit computers?,Yes,Yes.,No.,Yes.,Yes.,No.,no,no,no,Yes.,Yes.,Yes.,Yes.,no,Yes,Yes.,Yes.,Yes,no,Yes,No.,Yes,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,comparison,hard
"Who released their debut album first, The Operation M.D. or Framing Hanley ?",The Operation M.D.,The Operation M.D.,Framing Hanley,Framing Hanley,The Operation M.D.,The Operation M.D.,Framing Hanley.,The Operation M.D.,The Operation M.D.,Framing Hanley.,Framing Hanley,Framing Hanley,The Operation M.D.,The Operation M.D.,Framing Hanley,Framing Hanley,Framing Hanley,The Operation M.D.,Framing Hanley,The Operation M.D.,The Operation M.D.,Framing Hanley,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,comparison,hard
"Did both movies, Alice's Birthday and Eleanor's Secret, come out in the same year ?",Yes.,No.,No.,No.,No.,No.,unknown,No.,No.,No.,No.,No.,No.,No.,No.,No.,No.,No.,No.,No.,no,No.,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,comparison,hard
"Which director was from a geographically smaller country, Éric Rohmer or Robert Stevenson?",Éric Rohmer,Éric Rohmer,Éric Rohmer,Éric Rohmer,Éric Rohmer,Éric Rohmer,Éric Rohmer.,Éric Rohmer,Éric Rohmer,Éric Rohmer,Éric Rohmer,Éric Rohmer,Éric Rohmer,Robert Stevenson,Robert Stevenson,Robert Stevenson,Robert Stevenson,Robert Stevenson,Robert Stevenson,Robert Stevenson,Robert Stevenson,Éric Rohmer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,comparison,hard
"Who was born first, Muhammad Iqbal or Ali Qushji?",Muhammad Iqbal,Ali Qushji.,Ali Qushji.,Ali Qushji.,Muhammad Iqbal,Muhammad Iqbal,Muhammad Iqbal,Muhammad Iqbal,Muhammad Iqbal,Muhammad Iqbal.,Muhammad Iqbal,Muhammad Iqbal.,Muhammad Iqbal.,Ali Qushji,Muhammad Iqbal,Ali Qushji,Ali Qushji,Ali Qushji.,Muhammad Iqbal,Ali Qushji,Ali Qushji,Muhammad Iqbal.,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,comparison,hard
